id,town,rd_imp,latitude,longitude,Soil_Drainage_Class,Soil_Moisture,Soil_pH,Soil_Elec_Conductivity,Soil_Surface_Texture,Flooding_Frequency,Corrosion of concrete,Corrosion of steel,year_built,owner,inv_dt,cul_type,cul_matl,hdr_matl,height,width,length,oa_cond,alignment
a56bb324-21e7-480c-8221-00494834cb83,SPRINGFIELD,1,43.3218728,-72.43012773,,,,,,,,,2016,Town Highway,11/29/2016,Round,Plastic Smooth,Stone masonry,18,18,30,Excellent,No
3fe3b5b6-b875-41d1-baac-00b812274031,READING,1,43.52064519,-72.54499975,,,,,,,,,2018,Town Highway,2/13/2020,Round,Steel Corrugated,Stone masonry,36,36,50,Good,No
0844a8b6-cf79-4159-914d-0115f6799c09,PUTNEY,1,42.99478379,-72.58203721,,,,,,,,,2011,Town Highway,4/17/2015,Round,Steel Corrugated,Stone masonry,72,72,60,Excellent,No
6366ddce-d90f-4911-8733-01273901ba39,WILMINGTON,1,42.88005862,-72.8555969,,,,,,,,,2013,Town Highway,10/24/2018,Round,Plastic Smooth,Concrete,18,18,42,Excellent,No
6b2c4c82-85e4-4dd6-9e1b-0249ed4cccd6,READING,1,43.47675508,-72.57707163,,,,,,,,,2012,Town Highway,6/30/2016,Round,Plastic Corrugated,Stone masonry,15,15,20,Good,No
2f34a9da-d730-4bd0-ae65-02916a25fc1f,DERBY,1,44.89790663,-72.17803741,,,,,,,,,2020,Town Highway,9/24/2020,Round,Steel Corrugated,Rip-rap,18,18,30,Excellent,No
91666ac2-3615-4462-9336-02e1fa557f7e,UNDERHILL,3,44.53961645,-72.8710144,,,,,,,,,2016,Town Highway,7/25/2018,Round,Steel Corrugated,Metal,24,24,60,Excellent,No
ae12e3bd-9b03-43bb-ac69-034aed053613,CORNWALL,3,43.91765749,-73.17651673,,,,,,,,,2004,Town Highway,6/5/2018,Round,Plastic Smooth,Rip-rap,36,36,40,Excellent,No
9ae99161-3ad2-4927-b4c5-0398379822f8,UNDERHILL,1,44.56378108,-72.94776777,,,,,,,,,2015,Town Highway,8/7/2018,Round,Steel Corrugated,Concrete,18,18,40,Good,No
ead09300-fe60-496c-9831-03f0bbc70802,READING,1,43.50286344,-72.61458064,,,,,,,,,2016,Town Highway,10/6/2016,Round,Plastic Corrugated,Stone masonry,18,18,30,Excellent,No
d52ea088-d547-422b-89c4-04060a438735,CHESTER,1,43.24306694,-72.61997246,,,,,,,,,2015,Town Highway,10/7/2015,Round,Plastic Corrugated,Stone masonry,36,36,60,Excellent,No
53da7e97-ffda-4d42-9f14-0473078268eb,BRATTLEBORO,2,42.83399209,-72.58527459,,,,,,,,,2013,Town Highway,7/2/2013,Round,Plastic Smooth,Stone masonry,18,18,40,Good,No
02f0b829-b889-4134-aae3-048a7da37aa2,SPRINGFIELD,3,43.31998661,-72.50933954,,,,,,,,,1960,Town Highway,8/9/2016,Round,Steel Corrugated,Stone masonry,30,30,60,Fair,No
696bb0bc-0456-4a0f-998c-0554df329f66,LUDLOW,1,43.37407627,-72.67506584,,,,,,,,,2013,Town Highway,5/13/2014,Round,Plastic Corrugated,Stone masonry,18,18,54,Excellent,No
3ff30fa4-59c7-4445-8a06-058fcfbd425a,BRATTLEBORO,1,42.89436703,-72.54284652,,,,,,,,,2013,Town Highway,8/13/2013,Round,Plastic Corrugated,Stone masonry,15,15,40,Good,No
e87945ff-cd90-4b95-8e35-061f2d327325,READING,1,43.55152922,-72.61522052,,,,,,,,,2011,Town Highway,7/14/2016,Round,Plastic Corrugated,Stone masonry,15,15,40,Good,No
eabf03ba-b8b8-4506-a2d5-063ba72e71b9,LUDLOW,1,43.37051138,-72.67478067,,,,,,,,,2013,Town Highway,5/13/2014,Round,Plastic Corrugated,Stone masonry,18,18,44,Excellent,No
a509c77f-a252-4c3d-87e8-0653fee0a1f7,RIPTON,3,44.00899423,-73.02222463,,,,,,,,,2013,Town Highway,8/15/2014,Round,Plastic Smooth,Concrete,30,30,40,Excellent,No
d0066d1d-114c-4698-80b5-066bc4971a96,TINMOUTH,1,43.44317085,-73.08237247,,,,,,,,,1985,Town Highway,5/21/2020,Round,Steel Corrugated,Stone masonry,24,24,15,Good,No
2cd1d79c-2988-4a6a-95cc-06cc3bcd8065,SPRINGFIELD,1,43.31775171,-72.4295615,,,,,,,,,2016,Town Highway,11/29/2016,Round,Plastic Smooth,Stone masonry,18,18,40,Excellent,No
900bcfe0-2e70-47c9-a8c7-06d2de1b2a7b,PUTNEY,3,42.97023878,-72.49342227,,,,,,,,,2006,Town Highway,4/17/2015,Round,Plastic Smooth,Stone masonry,36,36,55,Excellent,No
e1119a0f-a65a-432d-a135-06df1d907226,GOSHEN,2,43.92145177,-73.0184936,,,,,,,,,2018,Town Highway,5/28/2020,Round,Plastic Corrugated,Concrete,18,18,40,Good,No
a61d391f-3c53-44c8-a73d-07015ed14df5,READING,1,43.50820431,-72.53524646,,,,,,,,,2013,Town Highway,7/14/2016,Round,Plastic Corrugated,Stone masonry,15,15,40,Good,No
4dbf4a02-06cb-48c5-aa60-078239b38df9,SPRINGFIELD,3,43.32848125,-72.52517858,,,,,,,,,2002,Town Highway,8/9/2016,Round,Plastic Smooth,Stone masonry,18,18,40,Excellent,No
a1b9b1e3-ad48-4bc7-b9cc-07b7b274b63c,WILMINGTON,1,42.8848493,-72.82823468,,,,,,,,,2017,Town Highway,10/17/2018,Round,Plastic Smooth,Concrete,18,18,40,Excellent,No
96ce12f2-c230-4977-9792-07d3d4e86ce2,WILMINGTON,3,42.85724559,-72.82224545,,,,,,,,,2017,Town Highway,10/24/2018,Round,Plastic Smooth,Concrete,18,18,40,Excellent,No
785f5b96-cda7-4e5c-9781-084c9f3690f8,READING,1,43.48011162,-72.60093743,,,,,,,,,2016,Town Highway,10/6/2016,Round,Plastic Corrugated,Stone masonry,18,18,30,Excellent,No
578f8da7-8e61-446c-b34f-0914fc210e8d,SPRINGFIELD,3,43.31546602,-72.50597977,,,,,,,,,2005,Town Highway,8/9/2016,Round,Plastic Smooth,Stone masonry,24,24,50,Excellent,No
1cff23b1-2c5f-4882-b225-0918d77f54e7,UNDERHILL,2,44.58497516,-72.87962839,,,,,,,,,2014,Town Highway,8/1/2018,Round,Steel Corrugated,Stone masonry,18,18,30,Good,No
8003734b-7bd9-4860-9e8d-09bf4040a7eb,WILMINGTON,3,42.85961056,-72.82131456,,,,,,,,,2015,Town Highway,10/24/2018,Round,Plastic Smooth,Concrete,18,18,40,Excellent,No
690ec708-7317-48a5-a7be-09d84bcc12f4,ANDOVER,2,43.2535491,-72.70445462,,,,,,,,,2013,Town Highway,9/1/2013,Round,Steel Corrugated,Stone masonry,15,15,40,Good,No
b982ebfc-9a01-4a28-b74c-09e045b6761e,DERBY,1,44.95470657,-72.10760951,,,,,,,,,2018,Town Highway,10/5/2018,Round,Plastic Smooth,Stone masonry,18,18,40,Excellent,No
a6e8bf76-3f62-4eac-9a47-09e860fa5604,SPRINGFIELD,1,43.30862186,-72.52257492,,,,,,,,,2005,Town Highway,10/3/2016,Round,Plastic Smooth,Stone masonry,15,15,40,Good,No
f698da12-4cd4-48b3-be9a-09fd6a5ffb07,READING,1,43.46141943,-72.58212133,,,,,,,,,2013,Town Highway,6/15/2016,Round,Plastic Corrugated,Stone masonry,15,15,30,Excellent,No
082500bb-e2bc-48e8-a2a0-0a6893d09cbb,GOSHEN,2,43.90039248,-73.01531317,,,,,,,,,2020,Town Highway,5/1/2020,Round,Plastic Corrugated,Concrete,20,20,40,Excellent,No
ba79d537-54dd-41e7-aa0d-0a763bc85e4d,CHARLESTON,1,44.89223445,-72.06826686,,,,,,,,,2010,Town Highway,5/7/2014,Round,Steel Corrugated,Rip-rap,36,36,50,Good,No
d8e71a55-1df8-4c27-944e-0ae7c0cea1b0,GOSHEN,2,43.87090786,-73.00918044,,,,,,,,,2016,Town Highway,3/31/2020,Round,Plastic Corrugated,Stone masonry,24,24,40,Good,No
2a73f566-c450-4127-a1d0-0bb4ea208c5b,LUDLOW,1,43.36754963,-72.69142385,,,,,,,,,2016,Town Highway,6/6/2017,Round,Plastic Smooth,Stone masonry,18,18,55,Excellent,No
ff309f2f-0d17-45f7-8631-0bc08e3756a0,TINMOUTH,2,43.44291163,-73.0468468,,,,,,,,,1995,"Private, (other than railroad)",6/4/2020,Round,Plastic Smooth,Stone masonry,18,18,30,Good,No
7d71cbdd-0895-4573-9837-0bc6ec4c765f,SPRINGFIELD,1,43.32003659,-72.52587341,,,,,,,,,2004,Town Highway,8/9/2016,Round,Plastic Smooth,Stone masonry,18,18,55,Good,No
18f6ab1e-25b1-49c8-a90a-0bf54ea8b6c1,SPRINGFIELD,1,43.32287432,-72.42976281,,,,,,,,,2010,Town Highway,8/16/2016,Round,Plastic Smooth,Stone masonry,15,15,30,Poor,No
d8edc075-c280-46f8-8874-0c59f823fba4,DERBY,1,44.93245588,-72.12462269,,,,,,,,,2020,"Private, (other than railroad)",9/3/2020,Round,Steel Corrugated,Rip-rap,15,15,20,Excellent,No
f6719793-e5f2-448b-9f62-0c645e7ca990,SPRINGFIELD,1,43.26626711,-72.53703142,,,,,,,,,2009,Town Highway,8/10/2016,Round,Plastic Smooth,Stone masonry,30,30,60,Good,No
1596e087-3fae-4076-8b62-0c8c6da17a50,ANDOVER,1,43.31556998,-72.72562032,,,,,,,,,2007,Town Highway,9/1/2013,Ellipse/Squashed,Plastic Corrugated,Stone masonry,18,18,30,Excellent,No
2c8ba4bf-8e91-4776-bc1f-0d207e57c08f,SPRINGFIELD,3,43.26246091,-72.47563494,,,,,,,,,2007,Town Highway,8/12/2016,Round,Plastic Smooth,Stone masonry,18,18,40,Good,No
bd195f48-d0c9-4df1-9c63-0d37250ba0a2,BALTIMORE,1,43.35497137,-72.58281305,,,,,,,,,2011,Town Highway,6/17/2014,Round,Plastic Corrugated,Stone masonry,24,24,37,Good,No
84aec9e4-be0e-487b-b356-0d3b9fa9c854,SPRINGFIELD,1,43.32454014,-72.50119156,,,,,,,,,2016,Town Highway,8/8/2016,Round,Plastic Smooth,Stone masonry,18,18,35,Excellent,No
b1c72e8f-6bf0-4859-b8e2-0d58e5b3e226,ANDOVER,1,43.26869804,-72.73672177,,,,,,,,,1994,Town Highway,9/1/2013,Round,Plastic Corrugated,Stone masonry,18,18,30,Excellent,No
1a24508c-c07b-4a0d-a9e9-0d93a64260ea,READING,1,43.48993147,-72.61150082,,,,,,,,,2013,Town Highway,6/29/2016,Round,Steel Corrugated,Stone masonry,24,24,30,Excellent,No
